itd.umich.edu                                       141.211.144.50
umich.edu                                           141.211.243.44
bugs.sakaiproject.org                               72.249.101.17
cam.ac.uk                                           131.111.150.25
rsug.itd.umich.edu                                  141.213.231.23
ring.mr.itd.umich.edu                               141.211.14.79
fightclub.rsug.itd.umich.edu                        141.211.14.36
driveangry.mr.itd.umich.edu                         141.211.14.43
uits.iupui.edu                                      129.79.78.247
berkeley.edu                                        169.229.216.200
ghostship.mr.itd.umich.edu                          141.211.14.91
anantes-551-1-153-3.w2-1.abo.wanadoo.fr             2.1.0.3
shmi.uhi.ac.uk                                      194.35.219.182
nakamura.uits.iupui.edu                             Fail
source.sakaiproject.org                             72.249.148.216
iupui.edu                                           129.79.78.166
collab.sakaiproject.org                             74.213.159.72
sakaiproject.org                                    140.211.9.16
mail.umich.edu                                      141.211.144.49
uhi.ac.uk                                           194.35.219.16
anantes-651-1-49-3.w2-0.abo.wanadoo.fr              2.0.0.3
uct.ac.za                                           137.158.158.44
firestarter.mr.itd.umich.edu                        141.211.14.83
media.berkeley.edu                                  128.32.61.200
wanadoo.fr                                          193.252.122.103
gmail.com                                           216.58.209.197
